batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
PD Salt,1258,3.5549597855227884,0.4959785522788204,1.522788203753351,38,441.5924932975871
V Shankar,1233,2.3578680203045685,1.3746192893401015,1.083248730964467,46,432.631040609137
R Tewatia,1208,2.252960172228202,2.193756727664155,1.107642626480086,52,424.0235199138859
KM Jadhav,1208,2.292490118577075,1.6640316205533596,0.9881422924901185,54,423.9035573122529
MM Ali,1167,2.970520231213873,1.0543352601156069,1.1248554913294797,51,409.62846820809244
TM Dilshan,1153,2.212989493791786,0.8357211079274116,0.9990448901623686,41,404.4702005730659
IK Pathan,1150,2.1802030456852792,1.83248730964467,1.0,53,403.6115482233502
A Badoni,1135,2.438150289017341,1.6034682080924856,1.1445086705202312,44,398.4091329479769
ML Hayden,1107,2.501787842669845,0.6233611442193087,1.269368295589988,28,388.4539928486293
M Vohra,1083,2.9687137891077637,0.608342989571263,1.0498261877172654,48,380.1238122827346
JM Sharma,1081,3.069577080491132,1.5593451568894952,1.2005457025920874,48,379.6693724420191
TH David,1080,2.504594180704441,2.4027565084226645,1.5099540581929556,32,379.40869065849927
DP Conway,1080,2.5201511335012596,0.6146095717884131,1.278337531486146,25,379.00862720403023
LMP Simmons,1079,2.3120728929384966,0.6002277904328018,1.1298405466970387,27,378.5740318906606
LS Livingstone,1066,3.0806896551724137,1.146206896551724,1.2744827586206897,42,374.3543103448275
LRPL Taylor,1017,2.434474616292798,1.1534828807556081,1.037780401416765,41,356.99687131050763
KP Pietersen,1001,2.5910290237467017,0.6926121372031663,1.1794195250659631,29,351.37216358839044
MC Henriques,1000,2.469413233458177,1.1785268414481898,1.0536828963795255,38,351.06379525593013
SM Curran,997,2.57161629434954,1.480946123521682,1.1064388961892246,41,350.11038107752955
Dhruv Jurel,994,2.63568215892054,1.5982008995502248,1.3043478260869565,32,349.13943028485755
Y Venugopal Rao,985,2.246820809248555,1.3502890173410405,0.9722543352601156,42,345.77621387283233
T Stubbs,982,2.284090909090909,1.562121212121212,1.3636363636363635,22,344.85617424242423
JA Morkel,975,2.3588483146067416,2.199438202247191,1.1601123595505618,40,342.51162219101127
A Symonds,974,2.1235595390524966,1.1587708066581306,1.1498079385403328,26,341.8926056338028
C Green,971,2.7390648567119156,0.951734539969834,1.3242835595776772,27,340.9899698340874
CL White,971,2.4186046511627906,1.1873385012919897,1.065891472868217,35,340.90529715762267
BA Stokes,935,2.8934540389972145,0.9749303621169917,1.0612813370473537,41,328.38060584958214
Priyansh Arya,887,4.11407249466951,0.43070362473347545,1.671641791044776,28,311.898987206823
HH Gibbs,886,2.2114695340501793,0.6642771804062126,0.9498207885304659,32,310.9756869772998
STR Binny,880,2.6535714285714285,1.6071428571428572,1.0042857142857142,44,309.1856785714286
Shashank Singh,847,2.4204339963833634,1.7432188065099457,1.3960216998191681,22,297.68295660036165
Harbhajan Singh,833,2.868710691823899,2.5943396226415096,0.9669811320754716,56,292.9794418238993
R Ashwin,833,2.85989010989011,2.0398351648351647,0.7774725274725275,63,292.828434065934
Abdul Samad,815,3.0804195804195804,2.1346153846153846,1.0874125874125875,46,286.66451048951046
Washington Sundar,807,2.5484126984126982,1.8412698412698412,1.0571428571428572,39,283.6667857142857
A Raghuvanshi,803,2.7762478485370052,0.7452667814113597,1.2203098106712564,25,282.1371772805507
MS Bisla,798,2.548168249660787,0.6621438263229308,0.9620081411126187,37,280.2618724559023
Shakib Al Hasan,795,2.517293233082707,1.5593984962406016,0.9774436090225563,40,279.3866917293233
N Wadhera,784,2.921097770154374,0.9365351629502573,1.1440823327615781,32,275.54639794168094
M Shahrukh Khan,775,2.7295825771324864,1.8457350272232305,1.1687840290381126,34,272.5352994555354
RD Rickelton,770,3.268421052631579,0.5368421052631579,1.4463157894736842,21,270.7137368421052
